state,pc_name,,candidate,sex,age,category,party,party_symbol,general_votes,postal_votes,total_votes,total_electors,,,a
Telangana,Karimnagar ,Karimnagar ,PULIKOTA RAMESH,M,34,SC,IND,Battery Torch,1772,1,1773,1550810,,Rajampet,Rajampet
Telangana,Karimnagar ,Karimnagar ,MALLESH YADAV BARLA,M,26,GEN,IND,Coconut,2757,0,2757,1550810,,Chittoor ,Chittoor 
Telangana,Karimnagar ,Karimnagar ,MOHAMMED AMJAD MOHIUDDIN,M,45,GEN,IND,Kite,6713,0,6713,1550810,,ARUNACHAL WEST,ARUNACHAL WEST
Telangana,Karimnagar ,Karimnagar ,SRINIVAS REDDY LINGAMPALLY,M,41,GEN,IND,Carrom Board,3851,0,3851,1550810,,ARUNACHAL EAST,ARUNACHAL EAST
Telangana,Karimnagar ,Karimnagar ,None of the Above,,0,,NOTA,NOTA,5722,12,5734,1550810,,Karimganj ,Karimganj 
Telangana,Nizamabad,Nizamabad,ENDALA LAKSHMINARAYANA,M,51,GEN,BJP,Lotus,222876,2457,225333,1496193,,Silchar,Silchar
Telangana,Nizamabad,Nizamabad,KALVAKUNTLA KAVITHA,F,36,GEN,TRS,Car,435706,3601,439307,1496193,,Autonomous District,Autonomous District
Telangana,Nizamabad,Nizamabad,TALARI RAMULU,M,46,SC,BSP,Elephant,7398,23,7421,1496193,,Dhubri,Dhubri
Telangana,Nizamabad,Nizamabad,MADHU YASKHI GOUD,M,56,GEN,INC,Hand,270948,1175,272123,1496193,,Kokrajhar,Kokrajhar
Telangana,Nizamabad,Nizamabad,ABDUL GANI,M,39,GEN,BCUF,Chappals,4791,0,4791,1496193,,Barpeta,Barpeta
Telangana,Nizamabad,Nizamabad,BANJA VEERAPPA,M,53,GEN,PPOI,Television,3649,2,3651,1496193,,Gauhati,Gauhati
Telangana,Nizamabad,Nizamabad,MALIK MOHTASIM KHAN,M,47,GEN,WPOI,Auto- Rickshaw,43738,76,43814,1496193,,Mangaldoi,Mangaldoi
Telangana,Nizamabad,Nizamabad,RAPELLY SRINIVAS,M,39,GEN,AAAP,Broom,2613,8,2621,1496193,,Tezpur,Tezpur
Telangana,Nizamabad,Nizamabad,SAGAR SUDDALA,M,32,SC,BMUP,Cot,1952,26,1978,1496193,,Nowgong,Nowgong
Telangana,Nizamabad,Nizamabad,SINGAREDDY RAVINDRA REDDY,M,46,GEN,YSRCP,Ceiling Fan,3508,21,3529,1496193,,Kaliabor,Kaliabor
Telangana,Nizamabad,Nizamabad,ABDUL KAREEM KHAN (BABU),M,44,GEN,IND,Bat,1599,2,1601,1496193,,Jorhat,Jorhat
Telangana,Nizamabad,Nizamabad,KANDEM PRABHAKAR,M,45,GEN,IND,Gas Stove,3988,2,3990,1496193,,Dibrugarh,Dibrugarh
Telangana,Nizamabad,Nizamabad,KOTAPATI NARSIMHAM NAIDU,M,56,GEN,IND,Gas Cylinder,2458,4,2462,1496193,,Lakhimpur,Lakhimpur
Telangana,Nizamabad,Nizamabad,S. CHANDRAIAH,M,66,GEN,IND,Cup & Saucer,2817,0,2817,1496193,,Valmiki Nagar,Valmiki Nagar
Telangana,Nizamabad,Nizamabad,CHIRULINGADRULA VENKATESHAM,M,40,GEN,IND,Coconut,3091,0,3091,1496193,,Paschim Champaran,Paschim Champaran
Telangana,Nizamabad,Nizamabad,BAGWAN B,M,49,ST,IND,Almirah,8129,0,8129,1496193,,Purvi Champaran,Purvi Champaran
Telangana,Nizamabad,Nizamabad,None of the Above,,0,,NOTA,NOTA,7244,22,7266,1496193,,Sheohar,Sheohar
Telangana,Zahirabad,Zahirabad,B.B. PATIL,M,58,GEN,TRS,Car,505983,2678,508661,1445354,,Sitamarhi,Sitamarhi
