state,pc_name,,candidate,sex,age,category,party,party_symbol,general_votes,postal_votes,total_votes,total_electors,,,a
Gujarat,Bardoli,Bardoli,BHAILALBHAI CHHANABHAI RATHOD,M,41,ST,ADSP,Auto- Rickshaw,5317,17,5334,1614106,,,
Gujarat,Bardoli,Bardoli,GAMIT SURENDRABHAI SIMABHAI,M,42,ST,IND,Cup & Saucer,5328,23,5351,1614106,,,
Gujarat,Bardoli,Bardoli,RATHOD RAMESHBHAI BHIKHABHAI,M,49,ST,IND,Kite,8602,5,8607,1614106,,,
Gujarat,Bardoli,Bardoli,None of the Above,,0,,NOTA,NOTA,19935,56,19991,1614106,,,
Gujarat,Surat,Surat,OMPRAKASH SHRIVASTAV,M,48,GEN,BSP,Elephant,6336,10,6346,1484068,,,
Gujarat,Surat,Surat,DARSHANA VIKRAM JARDOSH,F,53,GEN,BJP,Lotus,717429,983,718412,1484068,,,
Gujarat,Surat,Surat,DESAI NAISHADHBHAI BHUPATBHAI,M,57,GEN,INC,Hand,184904,318,185222,1484068,,,
Gujarat,Surat,Surat,KIRITBHAI HARJIBHAI VASANI,M,43,GEN,YuS,Candles,2639,1,2640,1484068,,,
Gujarat,Surat,Surat,MOHANBHAI B. PATEL,M,61,GEN,AAAP,Broom,18824,53,18877,1484068,,,
Gujarat,Surat,Surat,VASAVA KISHORBHAI CHHOTUBHAI,M,40,ST,JD(U),Arrow,1177,10,1187,1484068,,,
Gujarat,Surat,Surat,MAVJIBHAI LAXMANBHAI SANDIS,M,73,SC,IND,Kite,1604,3,1607,1484068,,,
Gujarat,Surat,Surat,MUKESHBHAI LAVJIBHAI AMBALIYA,M,36,GEN,IND,Television,2694,1,2695,1484068,,,
Gujarat,Surat,Surat,None of the Above,,0,,NOTA,NOTA,10900,36,10936,1484068,,,
Gujarat,Navsari,Navsari,CHAUHAN KESHAVBHAI MALABHAI (MASTER),M,59,SC,BSP,Elephant,11218,22,11240,1764622,,,
Gujarat,Navsari,Navsari,C. R. PATIL,M,59,GEN,BJP,Lotus,818367,2464,820831,1764622,,,
Gujarat,Navsari,Navsari,MAKSUD MIRZA,M,40,GEN,INC,Hand,261848,867,262715,1764622,,,
Gujarat,Navsari,Navsari,ASLAM MISTRY,M,57,GEN,BBC,Auto- Rickshaw,3805,48,3853,1764622,,,
Gujarat,Navsari,Navsari,PATEL BHUPENDRAKUMAR DHIRUBHAI,M,34,ST,JD(U),Arrow,1258,6,1264,1764622,,,
Gujarat,Navsari,Navsari,PYARELAL BHARTI,M,47,SC,HND,Battery Torch,830,4,834,1764622,,,
Gujarat,Navsari,Navsari,MEHUL PATEL,M,48,GEN,AAAP,Broom,14163,136,14299,1764622,,,
Gujarat,Navsari,Navsari,WARDE RAJUBHAI BHIMRAO,M,32,SC,BMUP,Cot,2133,23,2156,1764622,,,
Gujarat,Navsari,Navsari,SONAL KELLOGG,F,51,GEN,VoP,Candles,1087,2,1089,1764622,,,
Gujarat,Navsari,Navsari,ARUN S. PATHAK(JOURNALIST),M,30,GEN,IND,Gas Cylinder,1020,10,1030,1764622,,,
Gujarat,Navsari,Navsari,KESHAVJI L. SARADVA,M,62,GEN,IND,Gas Stove,1055,4,1059,1764622,,,
Gujarat,Navsari,Navsari,PERCY MUNSHI,M,51,GEN,IND,Pen Nib with Seven Rays,2231,4,2235,1764622,,,
Gujarat,Navsari,Navsari,RAMJAN MANSURI(JOURNALIST),M,48,GEN,IND,Camera,1785,2,1787,1764622,,,
Gujarat,Navsari,Navsari,RAVSHAHEB BHIMRAV PATIL (BANDHU),M,40,GEN,IND,Envelope,2882,6,2888,1764622,,,
Gujarat,Navsari,Navsari,ROHIT GANDHI,M,36,GEN,IND,Dao,4245,22,4267,1764622,,,
Gujarat,Navsari,Navsari,LATABEN ASHOKKUMAR DWIVEDI,F,44,GEN,IND,Kite,7555,5,7560,1764622,,,
Gujarat,Navsari,Navsari,VIMAL PATEL (ENDHAL),M,30,GEN,IND,Bat,2727,12,2739,1764622,,,
Gujarat,Navsari,Navsari,SAIYED MEHMUD AHMED,M,56,GEN,IND,HOCKEY & BALL,6066,3,6069,1764622,,,
Gujarat,Navsari,Navsari,HASAN SHAIKH,M,67,GEN,IND,Pressure Cooker,3507,3,3510,1764622,,,
Gujarat,Navsari,Navsari,None of the Above,,0,,NOTA,NOTA,9232,90,9322,1764622,,,
Gujarat,Valsad,Valsad,KISHANBHAI  VESTABHAI PATEL,M,48,ST,INC,Hand,408003,1765,409768,1512061,,,
Gujarat,Valsad,Valsad,THAKRIYA RATILAL VAJIRBHAI,M,64,ST,BSP,Elephant,14150,52,14202,1512061,,,
Gujarat,Valsad,Valsad,DR. K.C.PATEL,M,65,ST,BJP,Lotus,616415,1357,617772,1512061,,,
Gujarat,Valsad,Valsad,GAURANGBHAI RAMESHBHAI PATEL,M,30,ST,HJP,Cup & Saucer,11350,22,11372,1512061,,,
Gujarat,Valsad,Valsad,TALAVIYA BABUBHAI CHHAGANBHAI,M,60,ST,BMUP,Cot,2962,5,2967,1512061,,,
Gujarat,Valsad,Valsad,PATEL GOVINDBHAI RANCHHODBHAI,M,68,ST,AAAP,Broom,7990,57,8047,1512061,,,
Gujarat,Valsad,Valsad,PATEL SHAILESHBHAI GANDABHAI,M,44,ST,JD(U),Arrow,2946,36,2982,1512061,,,
Gujarat,Valsad,Valsad,DR.PANKAJKUMAR PARBHUBHAI PATEL,M,45,ST,ADSP,Auto- Rickshaw,5976,52,6028,1512061,,,
Gujarat,Valsad,Valsad,VADIYA LAXMANBHAI CHHAGANBHAI,M,55,ST,CPI(ML)(L),Kite,9693,9,9702,1512061,,,
Gujarat,Valsad,Valsad,PATEL BUDHABHAI RANCHHODBHAI,M,53,ST,IND,Pen Nib with Seven Rays,12747,10,12757,1512061,,,
Gujarat,Valsad,Valsad,None of the Above,,0,,NOTA,NOTA,26552,54,26606,1512061,,,
Haryana,Ambala,Ambala,ARUN KUMAR,M,42,SC,CPI,Ears of Corn And Sickle,11123,0,11123,1692424,,,
Haryana,Ambala,Ambala,DR. KAPOOR SINGH,M,54,SC,BSP,Elephant,102619,8,102627,1692424,,,
Haryana,Ambala,Ambala,DR. KUSUM SHERWAL,F,43,SC,INLD,Spectacles,129565,6,129571,1692424,,,
Haryana,Ambala,Ambala,RATTAN LAL KATARIA,M,62,SC,BJP,Lotus,611902,219,612121,1692424,,,
Haryana,Ambala,Ambala,RAJ KUMAR BALMIKI,M,57,SC,INC,Hand,272026,21,272047,1692424,,,
Haryana,Ambala,Ambala,RAJENDER KUMAR BHATAULI,M,44,SC,BSCP,Conch,3432,0,3432,1692424,,,
Haryana,Ambala,Ambala,RAM JAWARI,M,48,SC,RAKP,Scissors,1290,0,1290,1692424,,,
Haryana,Ambala,Ambala,SURINDER PAL SINGH,M,53,SC,AAAP,Broom,63608,18,63626,1692424,,,
Haryana,Ambala,Ambala,ISHWAR SINGH,M,44,SC,IND,Pressure Cooker,1446,0,1446,1692424,,,
Haryana,Ambala,Ambala,GURNAM SINGH,M,55,SC,IND,BUCKET,933,0,933,1692424,,,
Haryana,Ambala,Ambala,PHOOL CHAND RATTUWALA,M,57,SC,IND,Coconut,3095,0,3095,1692424,,,
Haryana,Ambala,Ambala,BHUPINDER KUMAR,M,47,SC,IND,Auto- Rickshaw,3765,0,3765,1692424,,,
Haryana,Ambala,Ambala,BHURA RAM,M,66,SC,IND,Sewing Machine,3388,0,3388,1692424,,,
Haryana,Ambala,Ambala,RAMESH CHAND,M,49,SC,IND,Almirah,2715,0,2715,1692424,,,
Haryana,Ambala,Ambala,None of the Above,,0,,NOTA,NOTA,7816,0,7816,1692424,,,
Haryana,Kurukshetra,Kurukshetra,CHATTAR SINGH,M,62,GEN,BSP,Elephant,68921,5,68926,1498459,,,
Haryana,Kurukshetra,Kurukshetra,NAVEEN JINDAL,M,44,GEN,INC,Hand,287695,27,287722,1498459,,,
Haryana,Kurukshetra,Kurukshetra,BALBIR SINGH SAINI,M,65,GEN,INLD,Spectacles,288334,42,288376,1498459,,,
Haryana,Kurukshetra,Kurukshetra,RAJ KUMAR SAINI,M,60,GEN,BJP,Lotus,417961,151,418112,1498459,,,
Haryana,Kurukshetra,Kurukshetra,ASHWANI MALHOTRA,M,49,GEN,AITC,Flowers and Grass,3251,0,3251,1498459,,,
Haryana,Kurukshetra,Kurukshetra,ONKAR SINGH,M,45,GEN,NAJC,Auto- Rickshaw,1483,0,1483,1498459,,,
Haryana,Kurukshetra,Kurukshetra,KANTA ALLARIA,F,43,SC,IBSPK,Lady Purse,1534,0,1534,1498459,,,
Haryana,Kurukshetra,Kurukshetra,KIRAN PAL,M,40,GEN,BIP,Balloon,762,0,762,1498459,,,
Haryana,Kurukshetra,Kurukshetra,KULDEEP SINGH MALLHI,M,44,GEN,RPI,Sewing Machine,1665,0,1665,1498459,,,
Haryana,Kurukshetra,Kurukshetra,GURMEET SINGH,M,47,GEN,LD,Carrot,1092,0,1092,1498459,,,
Haryana,Kurukshetra,Kurukshetra,BALWINDER KAUR,F,51,GEN,AAAP,Broom,32538,16,32554,1498459,,,
Haryana,Kurukshetra,Kurukshetra,RAM KISHAN,M,49,SC,LPR,Gas Cylinder,1635,0,1635,1498459,,,
Haryana,Kurukshetra,Kurukshetra,RAMESHWAR KUMAR SAINI,M,66,GEN,BSCP,FLUTE,2344,0,2344,1498459,,,
Haryana,Kurukshetra,Kurukshetra,ANIL KUMAR,M,32,GEN,IND,Bat,1593,0,1593,1498459,,,
Haryana,Kurukshetra,Kurukshetra,CHUNI MANOJ KUMAR,M,32,GEN,IND,Gas Stove,2770,0,2770,1498459,,,
Haryana,Kurukshetra,Kurukshetra,JASVINDER JASHT BHUKHRI,M,38,SC,IND,Diesel Pump,3887,0,3887,1498459,,,
Haryana,Kurukshetra,Kurukshetra,DAVINDER KUMAR,M,33,SC,IND,Coconut,2041,0,2041,1498459,,,
Haryana,Kurukshetra,Kurukshetra,MASTER DHARAMPAL DHIMAN BRAHAMAN,M,63,GEN,IND,Refrigerator,1994,0,1994,1498459,,,
Haryana,Kurukshetra,Kurukshetra,RANBIR SINGH SHARMA,M,58,GEN,IND,Battery Torch,2765,0,2765,1498459,,,
Haryana,Kurukshetra,Kurukshetra,RAJ KUMAR SAINI,M,37,GEN,IND,Cauliflower,6061,0,6061,1498459,,,
Haryana,Kurukshetra,Kurukshetra,VISHNU BHAGWAN AGGARWAL,M,66,GEN,IND,Candles,2083,0,2083,1498459,,,
Haryana,Kurukshetra,Kurukshetra,CA. SATISH SINGAL,M,54,GEN,IND,Ceiling Fan,760,0,760,1498459,,,
Haryana,Kurukshetra,Kurukshetra,None of the Above,,0,,NOTA,NOTA,2482,0,2482,1498459,,,
Haryana,Sirsa,Sirsa,ASHOK TANWAR,M,38,SC,INC,Hand,390615,19,390634,1660557,,,
Haryana,Sirsa,Sirsa,CHARANJEET SINGH RORI,M,43,SC,INLD,Spectacles,506213,157,506370,1660557,,,
Haryana,Sirsa,Sirsa,MANGERAM,M,73,SC,BSP,Elephant,20746,4,20750,1660557,,,
Haryana,Sirsa,Sirsa,COMRADE RAM KUMAR,M,46,SC,CPM,"Hammer, Sickle and Star",11188,6,11194,1660557,,,
Haryana,Sirsa,Sirsa,DR. SUSHIL INDORA,M,54,SC,HJCBL,Tractor,241028,39,241067,1660557,,,
Haryana,Sirsa,Sirsa,POONAM CHAND RATTI,M,58,SC,AAAP,Broom,66834,10,66844,1660557,,,
Haryana,Sirsa,Sirsa,BALWANT SINGH,M,45,SC,BhSMP,Camera,2196,5,2201,1660557,,,
Haryana,Sirsa,Sirsa,RAJ KUMAR NAGAR,M,43,SC,SP,Bicycle,4208,0,4208,1660557,,,
Haryana,Sirsa,Sirsa,SANJIV BHOJRAJ,M,26,SC,VIP,Gas Cylinder,2350,0,2350,1660557,,,
Haryana,Sirsa,Sirsa,HANSRAJ HANSA,M,42,SC,JM,Auto- Rickshaw,2901,0,2901,1660557,,,
Haryana,Sirsa,Sirsa,JAGDISH,M,39,SC,IND,Basket containing Fruits,2145,0,2145,1660557,,,
Haryana,Sirsa,Sirsa,JAIPAL BHATTI,M,44,SC,IND,Ceiling Fan,1365,0,1365,1660557,,,
Haryana,Sirsa,Sirsa,FAKIR CHAND,M,55,SC,IND,Air Conditioner,1197,0,1197,1660557,,,
Haryana,Sirsa,Sirsa,MANJEET SINGH,M,33,SC,IND,Almirah,1334,0,1334,1660557,,,
Haryana,Sirsa,Sirsa,MEWA SINGH,M,43,SC,IND,Bat,4136,0,4136,1660557,,,
Haryana,Sirsa,Sirsa,RANVIR KHOBRA,M,26,SC,IND,Gas Stove,7308,0,7308,1660557,,,
Haryana,Sirsa,Sirsa,RAJBIR PALNA,M,28,SC,IND,Sewing Machine,5636,0,5636,1660557,,,
Haryana,Sirsa,Sirsa,SURENDER KUMAR (URF) MENPAL PHOOLA,M,36,SC,IND,Harmonium,3432,0,3432,1660557,,,
Haryana,Sirsa,Sirsa,None of the Above,,0,,NOTA,NOTA,4031,2,4033,1660557,,,
Haryana,Hisar,Hisar,KULDEEP BISHNOI,M,45,GEN,HJCBL,Tractor,462219,412,462631,1517606,,,
Haryana,Hisar,Hisar,DUSHYANT CHAUTALA,M,26,GEN,INLD,Spectacles,494213,265,494478,1517606,,,
Haryana,Hisar,Hisar,PHUL SINGH,M,56,GEN,CPM,"Hammer, Sickle and Star",6531,2,6533,1517606,,,
Haryana,Hisar,Hisar,MANGE RAM,M,45,GEN,BSP,Elephant,30437,9,30446,1517606,,,
Haryana,Hisar,Hisar,SAMPAT SINGH,M,64,GEN,INC,Hand,102491,18,102509,1517606,,,
Haryana,Hisar,Hisar,OM PARKASH,M,37,GEN,BhSMP,Camera,1464,7,1471,1517606,,,
Haryana,Hisar,Hisar,KULDEEP SINGH S/O SHISHPAL,M,25,SC,BMUP,Cot,705,0,705,1517606,,,
Haryana,Hisar,Hisar,MAMTA RANI,F,46,GEN,RPP(LB),Sewing Machine,1195,0,1195,1517606,,,
Haryana,Hisar,Hisar,DR. YUDHBIR SINGH KHYALIA,M,59,GEN,AAAP,Broom,28462,28,28490,1517606,,,
Haryana,Hisar,Hisar,ARUN KUMAR,M,31,GEN,IND,Battery Torch,307,0,307,1517606,,,
Haryana,Hisar,Hisar,ATAM PARKASH,M,58,GEN,IND,Cup & Saucer,300,0,300,1517606,,,
Haryana,Hisar,Hisar,UMED SINGH,M,51,GEN,IND,Balloon,342,0,342,1517606,,,
Haryana,Hisar,Hisar,KARTAR SINGH,M,62,GEN,IND,Glass Tumbler,1143,0,1143,1517606,,,
Haryana,Hisar,Hisar,KULDEEP S/O ISHWAR SINGH,M,33,GEN,IND,Batsman,1242,0,1242,1517606,,,
Haryana,Hisar,Hisar,KULDEEP S/O KARAN SINGH,M,37,GEN,IND,Coconut,1886,0,1886,1517606,,,
Haryana,Hisar,Hisar,KULDEEP S/O NARAIN SINGH,M,30,GEN,IND,Dolli,5251,0,5251,1517606,,,
Haryana,Hisar,Hisar,KULDEEP S/O PARDUMN,M,30,GEN,IND,BELT,2587,0,2587,1517606,,,
Haryana,Hisar,Hisar,KULDEEP S/O MADAN LAL,M,48,GEN,IND,Black Board,959,0,959,1517606,,,
Haryana,Hisar,Hisar,KULDEEP S/O SAJJAN,M,38,GEN,IND,Diesel Pump,395,0,395,1517606,,,
Haryana,Hisar,Hisar,NARINDER KUMAR,M,32,GEN,IND,Bottle,388,0,388,1517606,,,
Haryana,Hisar,Hisar,NARENDER,M,40,GEN,IND,Bread,408,0,408,1517606,,,
Haryana,Hisar,Hisar,NARESH BATRA,M,43,GEN,IND,Coat,587,0,587,1517606,,,
Haryana,Hisar,Hisar,BALJEET,M,34,GEN,IND,Brush,208,0,208,1517606,,,
Haryana,Hisar,Hisar,BALWAN SINGH,M,40,GEN,IND,Ceiling Fan,213,0,213,1517606,,,
Haryana,Hisar,Hisar,YUDHVIR,M,45,GEN,IND,CALCULATOR,197,0,197,1517606,,,
Haryana,Hisar,Hisar,RAKESH KUMAR (RINKU BHAI),M,27,GEN,IND,Window,176,0,176,1517606,,,
Haryana,Hisar,Hisar,RAJ KUMAR,M,31,GEN,IND,Bat,255,0,255,1517606,,,
Haryana,Hisar,Hisar,RAJ SINGH,M,39,GEN,IND,Brief Case,600,0,600,1517606,,,
Haryana,Hisar,Hisar,DR. RAJESH MAHENDIA,M,39,SC,IND,Auto- Rickshaw,1723,0,1723,1517606,,,
Haryana,Hisar,Hisar,RAM PHAL,M,34,GEN,IND,Cake,463,0,463,1517606,,,
Haryana,Hisar,Hisar,VIKAS,M,38,GEN,IND,Basket containing Fruits,684,0,684,1517606,,,
Haryana,Hisar,Hisar,VIJAY KUMAR SHARMA,M,43,GEN,IND,Candles,1788,0,1788,1517606,,,
Haryana,Hisar,Hisar,VISHNU KUMAR,M,29,GEN,IND,Carrom Board,1048,0,1048,1517606,,,
Haryana,Hisar,Hisar,SHIV KUMAR,M,44,GEN,IND,CARPET,446,1,447,1517606,,,
Haryana,Hisar,Hisar,SHRAVAN KUMAR ASIJA,M,55,GEN,IND,Carrot,371,0,371,1517606,,,
Haryana,Hisar,Hisar,SATBIR,M,53,GEN,IND,Cauliflower,363,0,363,1517606,,,
Haryana,Hisar,Hisar,SITA RAM,M,34,GEN,IND,CHESS BOARD,127,1,128,1517606,,,
Haryana,Hisar,Hisar,SUNDER,M,44,GEN,IND,BUCKET,134,0,134,1517606,,,
Haryana,Hisar,Hisar,SUSHIL KAUSHIK,M,39,GEN,IND,Chappals,700,0,700,1517606,,,
Haryana,Hisar,Hisar,SUSHIL NIDHI,M,41,GEN,IND,CUTTING PLIERS,273,0,273,1517606,,,
Haryana,Hisar,Hisar,HANSRAJ,M,42,SC,IND,Electric Pole,245,0,245,1517606,,,
Haryana,Hisar,Hisar,None of the Above,,0,,NOTA,NOTA,1643,2,1645,1517606,,,
Haryana,Karnal,Karnal,ARVIND KUMAR SHARMA,M,51,GEN,INC,Hand,234657,13,234670,1684321,,,
Haryana,Karnal,Karnal,ASHWINI KUMAR,M,57,GEN,BJP,Lotus,594704,113,594817,1684321,,,
Haryana,Karnal,Karnal,JASWINDER SINGH SANDHU,M,58,GEN,INLD,Spectacles,187893,9,187902,1684321,,,
Haryana,Karnal,Karnal,MAM CHAND,M,70,GEN,CPI,Ears of Corn And Sickle,10945,0,10945,1684321,,,
Haryana,Karnal,Karnal,MARATHA VIRENDER VERMA,M,59,GEN,BSP,Elephant,102624,4,102628,1684321,,,
Haryana,Karnal,Karnal,ASHISH,M,30,GEN,AIFB,Lion,1314,0,1314,1684321,,,
Haryana,Karnal,Karnal,KHATAB SINGH MOR,M,38,GEN,BSCP,FLUTE,885,0,885,1684321,,,
Haryana,Karnal,Karnal,DULI CHAND,M,66,GEN,LPR,Gas Cylinder,1144,0,1144,1684321,,,
Haryana,Karnal,Karnal,DEVENDER JAGLAN,M,29,GEN,RPI(A),Sewing Machine,759,0,759,1684321,,,
Haryana,Karnal,Karnal,DAVINDER SHARMA,M,50,GEN,RAKP,Scissors,806,0,806,1684321,,,
Haryana,Karnal,Karnal,PARAMJIT SINGH,M,36,GEN,AAAP,Broom,32057,3,32060,1684321,,,
Haryana,Karnal,Karnal,PALE RAM KASHYAP,M,47,GEN,RJP(E),Glass Tumbler,2654,0,2654,1684321,,,
Haryana,Karnal,Karnal,PURAN SINGH PANWAR,M,67,GEN,RVNP,Ceiling Fan,865,0,865,1684321,,,
Haryana,Karnal,Karnal,ARVIND TIWARI,M,45,GEN,IND,Air Conditioner,1260,0,1260,1684321,,,
Haryana,Karnal,Karnal,KISMAT SHARMA,M,39,GEN,IND,Bat,1757,0,1757,1684321,,,
Haryana,Karnal,Karnal,JAGDISH,M,65,GEN,IND,Iron,3442,0,3442,1684321,,,
Haryana,Karnal,Karnal,JAGBIR SINGH RANA,M,55,GEN,IND,Pot,2775,0,2775,1684321,,,
Haryana,Karnal,Karnal,MAHMOOD HASSAN,M,54,GEN,IND,Kettle,2723,0,2723,1684321,,,
Haryana,Karnal,Karnal,MAHINDER PAL,M,36,GEN,IND,Almirah,1276,0,1276,1684321,,,
Haryana,Karnal,Karnal,RAJESH KUMAR,M,34,GEN,IND,Candles,1937,0,1937,1684321,,,
Haryana,Karnal,Karnal,RAMPHAL SHARMA,M,57,GEN,IND,Table,940,0,940,1684321,,,
Haryana,Karnal,Karnal,SHASHI SAINI,F,52,GEN,IND,Ring,1544,0,1544,1684321,,,
Haryana,Karnal,Karnal,SAVITRI,F,42,SC,IND,Coconut,1468,0,1468,1684321,,,
Haryana,Karnal,Karnal,None of the Above,,0,,NOTA,NOTA,2929,0,2929,1684321,,,
Haryana,Sonipat,Sonipat,JAGBIR SINGH MALIK,M,64,GEN,INC,Hand,269727,62,269789,1417188,,,
Haryana,Sonipat,Sonipat,PADAM SINGH,M,50,GEN,INLD,Spectacles,264284,120,264404,1417188,,,
Haryana,Sonipat,Sonipat,RAMESH CHANDER,M,54,GEN,BJP,Lotus,346979,224,347203,1417188,,,
Haryana,Sonipat,Sonipat,SUMAN SINGH,M,65,GEN,BSP,Elephant,24102,1,24103,1417188,,,
Haryana,Sonipat,Sonipat,ANIL KUMAR,M,27,GEN,RBHP,Kite,468,0,468,1417188,,,
Haryana,Sonipat,Sonipat,ANUP SING DAHIYA,M,66,GEN,RJAVP,Electric Pole,259,0,259,1417188,,,
Haryana,Sonipat,Sonipat,ASHOK KUMAR VASHISHTH,M,37,GEN,RPI(A),Sewing Machine,492,0,492,1417188,,,
Haryana,Sonipat,Sonipat,GULAB SINGH,M,42,GEN,PHRC,Gas Cylinder,916,0,916,1417188,,,
Haryana,Sonipat,Sonipat,JAI SINGH,M,62,GEN,AAAP,Broom,48565,32,48597,1417188,,,
Haryana,Sonipat,Sonipat,DALBIR SINGH CHAHAL,M,28,GEN,RVNP,Ceiling Fan,671,0,671,1417188,,,
Haryana,Sonipat,Sonipat,HARI PARKASH COMRADE,M,60,GEN,SUCI,Glass Tumbler,1757,0,1757,1417188,,,
Haryana,Sonipat,Sonipat,JAGBIR,M,29,SC,IND,Bat,357,0,357,1417188,,,
Haryana,Sonipat,Sonipat,JASWANT,M,52,GEN,IND,Battery Torch,656,0,656,1417188,,,
Haryana,Sonipat,Sonipat,PADAM SINGH,M,64,GEN,IND,Scissors,1375,0,1375,1417188,,,
Haryana,Sonipat,Sonipat,BIJENDER KUMAR,M,36,SC,IND,Almirah,965,0,965,1417188,,,
Haryana,Sonipat,Sonipat,BHUPESHWAR DAYAL,M,37,GEN,IND,Batsman,2524,1,2525,1417188,,,
Haryana,Sonipat,Sonipat,MANOJ KUMAR,M,37,GEN,IND,BUCKET,2417,0,2417,1417188,,,
Haryana,Sonipat,Sonipat,RAMESH,M,53,GEN,IND,Cauliflower,4405,0,4405,1417188,,,
Haryana,Sonipat,Sonipat,SANJAY,M,40,GEN,IND,Chappals,3950,0,3950,1417188,,,
Haryana,Sonipat,Sonipat,SANT DHARAMVIR CHOTIWALA,M,42,GEN,IND,Auto- Rickshaw,943,0,943,1417188,,,
Haryana,Sonipat,Sonipat,SATYA NARAYAN,M,47,GEN,IND,HOCKEY & BALL,550,0,550,1417188,,,
Haryana,Sonipat,Sonipat,SITENDER SINGH,M,36,GEN,IND,Television,899,0,899,1417188,,,
Haryana,Sonipat,Sonipat,SUKHBIR SINGH,M,58,GEN,IND,Cup & Saucer,5534,0,5534,1417188,,,
Haryana,Sonipat,Sonipat,None of the Above,,0,,NOTA,NOTA,2401,2,2403,1417188,,,
Haryana,Rohtak,Rohtak,OM PARKASH DHANKAR,M,52,GEN,BJP,Lotus,318984,452,319436,1567508,,,
Haryana,Rohtak,Rohtak,DEEPENDER SINGH HOODA,M,36,GEN,INC,Hand,489900,163,490063,1567508,,,
Haryana,Rohtak,Rohtak,MANOJ KUMAR,M,41,GEN,BSP,Elephant,18682,8,18690,1567508,,,
Haryana,Rohtak,Rohtak,SHAMSHER SINGH KHARKARA,M,56,GEN,INLD,Spectacles,151085,35,151120,1567508,,,
Haryana,Rohtak,Rohtak,ANIL,M,30,GEN,RBHP,Kite,828,1,829,1567508,,,
Haryana,Rohtak,Rohtak,JAI KARAN MANDAUTHI,M,68,GEN,SUCI,Glass Tumbler,2497,0,2497,1567508,,,
Haryana,Rohtak,Rohtak,NAVEEN JAIHIND,M,33,GEN,AAAP,Broom,46739,20,46759,1567508,,,
Haryana,Rohtak,Rohtak,RAVINDER KUMAR,M,37,SC,IBSPK,Lady Purse,418,0,418,1567508,,,
Haryana,Rohtak,Rohtak,SUNIL KUMAR,M,46,GEN,AITC,Flowers and Grass,947,0,947,1567508,,,
Haryana,Rohtak,Rohtak,KARAN SINGH,M,60,GEN,IND,Balloon,394,0,394,1567508,,,
Haryana,Rohtak,Rohtak,JAI SINGH,M,59,GEN,IND,Sewing Machine,614,0,614,1567508,,,
Haryana,Rohtak,Rohtak,VISHNU DUTT,M,39,SC,IND,Ceiling Fan,3151,0,3151,1567508,,,
Haryana,Rohtak,Rohtak,SAJJAN SINGH,M,66,GEN,IND,Candles,2032,0,2032,1567508,,,
Haryana,Rohtak,Rohtak,SATPAL,M,44,GEN,IND,Electric Pole,2449,0,2449,1567508,,,
Haryana,Rohtak,Rohtak,None of the Above,,0,,NOTA,NOTA,4931,1,4932,1567508,,,
Haryana,Bhiwani-Mahendragarh,Bhiwani-Mahendragarh,DHARAMBIR S/O BHALE RAM,M,59,GEN,BJP,Lotus,404065,477,404542,1473912,,,
Haryana,Bhiwani-Mahendragarh,Bhiwani-Mahendragarh,BAHADUR SINGH,M,57,GEN,INLD,Spectacles,275062,86,275148,1473912,,,
Haryana,Bhiwani-Mahendragarh,Bhiwani-Mahendragarh,VED PAL TANWAR,M,44,GEN,BSP,Elephant,27823,11,27834,1473912,,,
Haryana,Bhiwani-Mahendragarh,Bhiwani-Mahendragarh,MASTER SHER SINGH,M,43,GEN,CPM,"Hammer, Sickle and Star",3439,2,3441,1473912,,,
Haryana,Bhiwani-Mahendragarh,Bhiwani-Mahendragarh,SHRUTI CHOUDHRY,F,38,GEN,INC,Hand,268007,108,268115,1473912,,,
Haryana,Bhiwani-Mahendragarh,Bhiwani-Mahendragarh,OMBIR,M,44,SC,LPR,Gas Cylinder,1617,0,1617,1473912,,,
Haryana,Bhiwani-Mahendragarh,Bhiwani-Mahendragarh,NARESH KUMAR,M,29,GEN,SP,Bicycle,1493,0,1493,1473912,,,
Haryana,Bhiwani-Mahendragarh,Bhiwani-Mahendragarh,RAJIV,M,34,SC,BMUP,Cot,603,0,603,1473912,,,
Haryana,Bhiwani-Mahendragarh,Bhiwani-Mahendragarh,LALIT AGGARWAL,M,39,GEN,AAAP,Broom,22172,28,22200,1473912,,,
Haryana,Bhiwani-Mahendragarh,Bhiwani-Mahendragarh,LAL CHAND,M,54,GEN,RBC,Auto- Rickshaw,6265,0,6265,1473912,,,
Haryana,Bhiwani-Mahendragarh,Bhiwani-Mahendragarh,SAMSER,M,43,SC,NLP,Table,391,0,391,1473912,,,
Haryana,Bhiwani-Mahendragarh,Bhiwani-Mahendragarh,CHITTER SINGH BALI,M,40,SC,IND,Candles,1060,0,1060,1473912,,,
Haryana,Bhiwani-Mahendragarh,Bhiwani-Mahendragarh,DHARAMBIR S/O BANWARI,M,54,GEN,IND,Coconut,708,0,708,1473912,,,
Haryana,Bhiwani-Mahendragarh,Bhiwani-Mahendragarh,DHARM BIR S/O HARI SINGH,M,53,GEN,IND,Cake,995,0,995,1473912,,,
Haryana,Bhiwani-Mahendragarh,Bhiwani-Mahendragarh,DHARAMBIR SINGH,M,44,GEN,IND,Cauliflower,2357,0,2357,1473912,,,
